ANTH227-201509,ANTH227,ANTH,227,201509,F2015,3,B,3.0,1,001
ANTH227-201609,ANTH227,ANTH,227,201609,F2016,3,A-,3.7,1,001
ANTH227-201709,ANTH227,ANTH,227,201709,F2017,3,B+,3.3,1,001
ANTH227-201805,ANTH227,ANTH,227,201805,S2018,3,A-,3.7,1,001
ANTH227-201809,ANTH227,ANTH,227,201809,F2018,3,A,4.0,1,001
ANTH301-201609,ANTH301,ANTH,301,201609,F2016,3,B+,3.3,1,001
ANTH302-201801,ANTH302,ANTH,302,201801,W2018,3,A-,3.7,1,001
ANTH308-201701,ANTH308,ANTH,308,201701,W2017,3,B,3.0,1,001
ANTH308-201801,ANTH308,ANTH,308,201801,W2018,3,B,3.0,1,001
ANTH311-201609,ANTH311,ANTH,311,201609,F2016,3,B+,3.3,1,001
ANTH311-201801,ANTH311,ANTH,311,201801,W2018,3,B+,3.3,1,001
ANTH311-201809,ANTH311,ANTH,311,201809,F2018,3,B+,3.3,1,001
ANTH322-201709,ANTH322,ANTH,322,201709,F2017,3,B+,3.3,1,001
ANTH325-201805,ANTH325,ANTH,325,201805,S2018,3,A-,3.7,1,001
ANTH326-201705,ANTH326,ANTH,326,201705,S2017,3,A-,3.7,1,001
ANTH326-201709,ANTH326,ANTH,326,201709,F2017,3,B+,3.3,1,001
ANTH326-201809,ANTH326,ANTH,326,201809,F2018,3,B+,3.3,1,001
ANTH327-201709,ANTH327,ANTH,327,201709,F2017,3,B+,3.3,1,001
ANTH339-201601,ANTH339,ANTH,339,201601,W2016,3,B+,3.3,1,001
ANTH339-201701,ANTH339,ANTH,339,201701,W2017,3,B,3.0,1,001
ANTH339-201801,ANTH339,ANTH,339,201801,W2018,3,B+,3.3,1,001
ANTH343-201701,ANTH343,ANTH,343,201701,W2017,3,B+,3.3,1,001
ANTH352-201609,ANTH352,ANTH,352,201609,F2016,3,A-,3.7,1,001
ANTH352-201709,ANTH352,ANTH,352,201709,F2017,3,B+,3.3,1,001
ANTH352-201809,ANTH352,ANTH,352,201809,F2018,3,B+,3.3,1,001
ANTH355-201801,ANTH355,ANTH,355,201801,W2018,3,B+,3.3,1,001
ANTH355-201805,ANTH355,ANTH,355,201805,S2018,3,B+,3.3,1,001
ANTH357-201809,ANTH357,ANTH,357,201809,F2018,3,A-,3.7,1,002
ANTH358-201709,ANTH358,ANTH,358,201709,F2017,3,A-,3.7,1,001
ARCH201-201709,ARCH201,ARCH,201,201709,F2017,6,A-,3.7,1,001
ARCH202-201801,ARCH202,ARCH,202,201801,W2018,6,A-,3.7,1,001
ARCH221-201709,ARCH221,ARCH,221,201709,F2017,2,A-,3.7,1,001
ARCH240-201801,ARCH240,ARCH,240,201801,W2018,3,A-,3.7,1,001
ARCH241-201709,ARCH241,ARCH,241,201709,F2017,3,A-,3.7,1,001
ARCH250-201709,ARCH250,ARCH,250,201709,F2017,3,A-,3.7,1,001
ARCH251-201801,ARCH251,ARCH,251,201801,W2018,3,B+,3.3,1,001
ARCH517-201709,ARCH517,ARCH,517,201709,F2017,3,A-,3.7,1,001
